match_attendance,match_home_team_Brisbane Lions,match_home_team_Carlton,match_home_team_Collingwood,match_home_team_Essendon,match_home_team_Geelong,match_home_team_Gold Coast,match_home_team_Hawthorn,match_home_team_Port Adelaide,match_home_team_Richmond,match_home_team_Sydney,match_home_team_West Coast,Capacity,n_games,playoff,start_time_Other Night,start_time_Sunday Afternoon,start_time_Sunday Night,season_Winter,match_weather_type_Overcast,match_weather_type_Storm,match_weather_type_Sunny,match_weather_type_Windy
72.01,0,0,0,0,0,0,0,0,1,0,0,100.024,1,0,1,0,0,0,0,0,0,0
57.772,0,0,0,0,1,0,0,0,0,0,0,100.024,1,0,1,0,0,0,0,0,1,0
31.33,0,0,0,0,0,0,0,0,0,1,0,83.5,3,0,1,0,0,0,0,0,0,0
29.201,1,0,0,0,0,0,0,0,0,0,0,41.974,3,0,1,0,0,0,0,0,0,0
21.205,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,1,0,0,0,1,0,0
36.78,1,0,0,0,0,0,0,0,0,0,0,41.974,1,0,1,0,0,1,0,0,0,0
50.421,0,0,1,0,0,0,0,0,0,0,0,100.024,3,0,0,0,0,1,0,1,0,0
37.01,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,1,0,0,1,1,0,0,0
36.041,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,1,0,0,1,0
29.651,0,0,0,1,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,0,0,1,0
27.358,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,0,1,1,0,0,1,0
68.628,0,0,0,0,0,0,1,0,0,0,0,100.024,1,0,0,0,0,1,0,0,1,0
23.306,0,0,0,0,0,0,0,1,0,0,0,45,4,0,0,0,0,1,0,1,0,0
71.006,0,1,0,0,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,1,0
28.414,0,0,0,0,0,0,0,0,0,1,0,48,4,0,1,0,0,1,0,0,1,0
38.676,0,0,0,0,0,0,0,0,0,0,1,43.5,1,0,1,0,0,1,0,0,0,0
38.321,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,0,0,1,1,0,0,0
67.668,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,0,0
33.323,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
42.594,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,1,0,0,0
25.539,0,0,0,0,1,0,0,0,0,0,0,36,3,0,0,1,0,1,0,0,1,0
28.422,0,0,0,0,0,0,0,0,0,1,0,48,3,0,0,0,0,1,1,0,0,0
23.355,0,0,0,0,0,0,0,1,0,0,0,45,3,0,1,0,0,1,0,0,1,0
90.07,0,0,1,0,0,0,0,0,0,0,0,100.024,3,0,0,1,0,1,0,1,0,0
16.301,0,0,0,0,0,0,1,0,0,0,0,19,3,0,0,0,1,1,1,0,0,0
71.399,0,1,0,0,0,0,0,0,0,0,0,100.024,1,0,0,0,0,1,0,0,0,1
40.371,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,0,0,1,0,0,1,0
61.006,0,0,0,1,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,0,0
30.975,0,0,0,0,0,0,0,0,0,1,0,48,4,0,1,0,0,1,0,0,0,0
24.106,0,0,0,0,1,0,0,0,0,0,0,36,3,0,0,1,0,1,1,0,0,0
80.645,0,1,0,0,0,0,0,0,0,0,0,100.024,3,0,0,1,0,1,1,0,0,0
40.886,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,1,0,1,0,0,1,0
29.248,0,0,0,1,0,0,0,0,0,0,0,56.347,4,0,0,0,0,1,1,0,0,0
35.864,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,0,0,0,1,0,0,1,0
52.696,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,1,0
27.739,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
25.97,0,0,0,0,1,0,0,0,0,0,0,36,2,0,0,1,0,1,1,0,0,0
31.196,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,1,1,1,0,0,0
33.629,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
41.563,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,0,0,1,0
30.228,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,1,0,1,0,1,0,0
88.115,0,0,1,0,0,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,0,0
24.819,0,0,0,0,0,0,0,0,0,1,0,48,4,0,0,0,0,1,1,0,0,0
64.709,0,0,0,1,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,0,0
31.517,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,1,0,0,1,0
47.484,0,1,0,0,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,1,0,0,0
36.244,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,1,0,1,1,0,0,0
45.742,0,0,0,1,0,0,0,0,0,0,0,56.347,1,0,1,0,0,1,0,0,1,0
24.525,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,0,1,0,0
16.694,0,0,0,0,0,0,0,1,0,0,0,45,4,0,0,0,0,1,0,0,0,1
34.512,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
36.003,0,0,0,0,0,0,1,0,0,0,0,100.024,3,0,0,1,0,1,1,0,0,0
29.175,0,1,0,0,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,1,0,0,0
32.858,0,0,0,0,0,0,0,0,1,0,0,56.347,1,0,1,0,0,1,0,0,1,0
49.745,0,1,0,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,1,0,0,0
35.605,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,0,0,1,0,1,0,0
33.784,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,1,0,0,1,1,0,0,0
29.329,0,0,0,0,0,0,0,0,0,1,0,48,3,0,0,1,0,1,0,1,0,0
21.287,0,0,0,0,0,0,1,0,0,0,0,100.024,3,0,0,1,0,1,0,1,0,0
40.813,0,0,1,0,0,0,0,0,0,0,0,56.347,3,0,0,0,1,1,0,1,0,0
16.167,0,0,0,0,0,0,1,0,0,0,0,19,3,0,0,0,0,1,0,0,0,0
46.358,0,0,0,1,0,0,0,0,0,0,0,56.347,3,0,1,0,0,1,0,0,1,0
20.106,0,0,0,0,0,0,0,1,0,0,0,45,3,0,1,0,0,1,0,0,1,0
30.87,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,1,0,0,0
54.148,0,0,0,0,0,0,1,0,0,0,0,100.024,1,0,1,0,0,1,0,0,1,0
28.869,0,1,0,0,0,0,0,0,0,0,0,56.347,2,0,1,0,0,1,0,0,1,0
28.415,1,0,0,0,0,0,0,0,0,0,0,41.974,2,0,1,0,0,1,0,0,1,0
34.28,0,0,0,0,0,0,0,0,0,0,1,43.5,2,0,0,1,0,1,0,0,1,0
43.585,0,0,0,0,0,0,0,0,0,1,0,83.5,1,0,1,0,0,1,0,0,1,0
34.422,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,1,0,1,0,0,1,0
35.623,0,1,0,0,0,0,0,0,0,0,0,56.347,1,0,1,0,0,1,0,0,1,0
47.454,0,0,0,0,0,0,1,0,0,0,0,100.024,1,0,1,0,0,1,0,0,1,0
38.781,0,0,1,0,0,0,0,0,0,0,0,56.347,3,0,1,0,0,1,0,0,1,0
37.296,0,0,0,0,0,0,0,0,0,0,0,45,3,0,1,0,0,1,0,0,1,0
25.159,0,0,0,0,1,0,0,0,0,0,0,36,3,0,0,1,0,1,1,0,0,0
39.386,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,1,0,0,0
24.26,0,0,0,0,0,0,0,1,0,0,0,45,1,0,1,0,0,1,0,0,1,0
69.22,0,0,0,0,1,0,0,0,0,0,0,100.024,4,0,0,0,0,1,1,0,0,0
26.976,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,0,0,0,1,0,1,0,0
25.707,0,0,0,0,0,0,0,0,1,0,0,56.347,4,0,1,0,0,1,0,0,1,0
29.329,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,1,0
23.856,0,0,0,0,0,0,0,0,0,1,0,48,3,0,0,1,0,1,0,1,0,0
37.517,0,1,0,0,0,0,0,0,0,0,0,56.347,3,0,0,0,1,1,1,0,0,0
41.195,0,0,0,0,0,0,0,0,0,0,0,45,1,0,1,0,0,1,0,0,0,0
81.386,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,0,0,1,0
16.69,0,0,0,0,0,0,1,0,0,0,0,19,4,0,0,0,0,1,1,0,0,0
26.991,0,0,0,1,0,0,0,0,0,0,0,56.347,4,0,1,0,0,1,0,0,1,0
31.915,0,1,0,0,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,1,0,0,0
42.723,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,0,1,0,0
66.727,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,0,1,0,0
24.508,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,0,1,0,0
35.925,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,1,0,0,1,0,0,1,0
36.788,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,0,1,1,1,0,0,0
37.165,0,0,0,1,0,0,0,0,0,0,0,56.347,1,0,1,0,0,1,0,0,1,0
76.98,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,1,0,0,0
22.34,0,0,0,0,0,0,0,1,0,0,0,45,4,0,0,0,0,1,0,0,0,1
30.71,0,0,0,0,0,0,0,0,0,1,0,83.5,4,0,1,0,0,1,0,0,0,0
26.144,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
19.226,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,0,0,1,0
57.095,0,0,0,1,0,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,1,0
29.431,0,0,0,0,0,0,0,0,0,1,0,48,4,0,0,0,0,1,0,0,1,0
84.401,0,0,0,0,1,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,1,0
32.587,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,1,0,0,1,0,0,1,0
